"","Parkinglot_ID","Location_code","Address","Parkinglot_num","Parkinglot_num_matiz","log","lat","fee","Parkinglot_Total"
"7963",5111595,10300,"서울특별시 광진구 구의동 217-2",13,0,127.093651,37.538722,"무료",13
"7964",5021900,10300,"서울특별시 광진구 구의동 217-1 경복빌딩",7,0,127.093685,37.53889,"무료",7
"7965",5022558,10300,"서울특별시 광진구 구의동 213-13",0,0,127.09377,37.539092,"무료",0
"7966",5069276,10300,"서울특별시 광진구 구의동 213-3 용천빌딩",12,0,127.093825,37.539513,"무료",12
"7967",5066285,10300,"서울특별시 광진구 구의동 587-71 구의 에스하임2",8,0,127.091707,37.536225,"무료",8
"7968",5021782,10300,"서울특별시 광진구 구의동 587-59",0,0,127.091633,37.536368,"무료",0
"7969",5021780,10300,"서울특별시 광진구 구의동 587-69 한강빌라",5,0,127.091849,37.536254,"무료",5
"7970",5067250,10300,"서울특별시 광진구 구의동 587-60 동서울빌라",0,0,127.091868,37.536496,"무료",0
"7971",5066984,10300,"서울특별시 광진구 구의동 587-89 프라임빌리지",0,0,127.091607,37.535893,"무료",0
"7973",5067163,10300,"서울특별시 광진구 구의동 587-63 리버빌",6,0,127.091825,37.535892,"무료",6
"7974",5021779,10300,"서울특별시 광진구 구의동 587-73",4,0,127.09183,37.536037,"무료",4
"7975",5067003,10300,"서울특별시 광진구 구의동 593-9",7,0,127.091401,37.5357,"무료",7
"7976",5021379,10300,"서울특별시 광진구 구의동 587-87 프라임빌리지",0,0,127.091481,37.535937,"무료",0
"7977",5064004,10300,"서울특별시 광진구 구의동 593-24",0,0,127.091204,37.535795,"무료",0
"7978",5022268,10300,"서울특별시 광진구 구의동 593-6",0,0,127.091117,37.535342,"무료",0
"7979",5024253,10300,"서울특별시 광진구 구의동 593-26 프라임빌리지",0,0,127.091095,37.535651,"무료",0
"7980",5022266,10300,"서울특별시 광진구 구의동 593-2 리치빌라트",7,0,127.091003,37.535568,"무료",7
"7981",5021380,10300,"서울특별시 광진구 구의동 587-58",47,0,127.091206,37.536062,"무료",47
"7982",5024201,10300,"서울특별시 광진구 구의동 591-21 구의동다세대주택",8,0,127.090796,37.535952,"무료",8
"7983",5022917,10300,"서울특별시 광진구 구의동 590-14 태운빌라",4,0,127.090665,37.536138,"무료",4
"7984",5022916,10300,"서울특별시 광진구 구의동 590-3 좋은교회",10,0,127.090368,37.536188,"무료",10
"7985",5015293,10300,"서울특별시 광진구 구의동 587-80",6,0,127.09061,37.536433,"무료",6
"7986",5015294,10300,"서울특별시 광진구 구의동 587-57 그랜드빌 예지빌라",5,0,127.090557,37.536548,"무료",5
"7987",5065949,10300,"서울특별시 광진구 구의동 587-56",6,0,127.090432,37.536621,"무료",6
"7988",5015295,10300,"서울특별시 광진구 구의동 587-82",0,0,127.090529,37.536651,"무료",0
"7989",5021478,10300,"서울특별시 광진구 구의동 590-1 구의동 근린생활시설",0,0,127.089965,37.536324,"무료",0
"7990",5019877,10300,"서울특별시 광진구 구의동 593-10",3,0,127.091624,37.535577,"무료",3
"7991",5021124,10300,"서울특별시 광진구 구의동 590 신원빌라트",28,0,127.089639,37.536258,"무료",28
"7992",5019885,10300,"서울특별시 광진구 구의동 593-21",0,0,127.09143,37.535242,"무료",0
